,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
2935,2935,3161,AAF38RHmZoL6DuxAdjymJdnC,공과대학,공학,2,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAG3lR75Qdq4S6hdfCFvhzEN,korean,석사과정,2020,1R,19940304,2020,1R,4.06,4,43,39,타교,,21678000,903250
2936,2936,3162,AAEscsvi5AekH4GZsTNpY27n,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAG3lR75Qdq4S6hdfCFvhzEN,korean,석사과정,2020,1R,19790124,2020,1R,4.4,4,39,38,타교,,,0
2937,2937,3163,AAFHGTuY9enJt6RY6UePg6/g,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAHe3qLoB9LSq82trspZ8MJo,korean,석사과정,2020,1R,19920129,2020,1R,4.38,4,42,39,타교,,18900000,787500
2938,2938,3164,AAEfFWka1T+XpWF9siZyPoCj,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFALvCxkcHPLh1HSG5JfBLX,korean,석사과정,2020,1R,19930520,2020,1R,4,4,40,38,자교,,21700000,904167
2939,2939,3165,AAHph/jGUVaEvI4i1bYA1wB8,공과대학,공학,1,학연산협동과정,졸업,산업경영공학과,산업경영공학전공,AAFD3xbYP2/G9DXqA0Ck4KRi,korean,석사과정,2020,1R,19820809,2020,1R,4.11,4,39,41,타교,,,0
2946,2946,3173,AAHNgFWL1/GTufH2TUKq/aRH,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAEi0/vt9suG6wBPbYe80RHO,korean,석사과정,2019,2R,19910208,2019,2R,4.44,4,48.5,48.4,타교,,31850000,1327083
2947,2947,3174,AAEltJY9YzS4PT6yOZAwdQfO,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFukyr7xBbs8UJxDmTihFIk,korean,석사과정,2019,2R,19940215,2019,2R,4.5,4,44.9,44.8,타교,,43146666,1797778
2948,2948,3175,AAFpz0asDVhZb6ORpq+h38dE,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,집적회로전공,AAEjl2tI/iO/9WH66UlDLNsD,korean,석사과정,2019,2R,19930116,2019,2R,4.4,4,45.1,45,타교,,26624348,1109348
2949,2949,3176,AAHkypyJFCKb7AzNFBCQempr,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,2019,2R,19930416,2019,2R,4.31,4,44.7,44.6,타교,,,0
2950,2950,3177,AAH7hwkAsj8M8TRz9ndI4C6H,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석사과정,2019,2R,19910525,2019,2R,4.31,4,48.7,48.6,타교,,24400000,1016667
