,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
478,480,5022,AAHMu6k87eQkWJB2M4HoOi59,공과대학,공학,2,외국인,졸업,기계공학과,기계공학전공,AAGMlJxfOORPzbzO8WPFu09N,foreigner,박사과정,2019,2R,19900320,2021,1R,4,7,93,,타교,타교,64700000,1540476
482,484,5036,AAEYTWmhBM3sNShBlWjhgC3U,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAGaCMeTjNaKuSWvzyinL5sl,korean,박사과정,2017,1R,19890406,2021,1R,3.96,12,50,31.5,타교,타교,,0
487,489,5082,AAH/aceiS76h9ODCEwtkEo4O,공과대학,공학,1,외국인,졸업,신소재공학과,신소재공학전공,AAFymew4Lrjt/j664v0m1rqf,foreigner,박사과정,2017,1R,19831107,2021,2R,4,13,97,,타교,,91250000,1169872
514,516,5168,AAEb7jMzcDClgfFuaVhnC+yy,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAHpoiBed0t7EkFpb742P6Ls,korean,박사과정,2017,2R,19821017,2021,2R,3.85,12,45.67,45.67,타교,자교,,0
531,533,5281,AAHN0t6nWLxNfA0T53PGPCr8,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAE9Ipr71+/6GsTPmjhNi//p,korean,박사과정,2018,1R,19861221,2021,2R,3.54,11,45,46,타교,타교,,0
557,559,5362,AAGMSC+3RivmOStuEgejQpwt,공과대학,공학,1,외국인,졸업,건축사회환경공학과,물과 환경전공,AAERHrdcBrOvIerqQuy+uKnG,foreigner,박사과정,2018,2R,19910120,2021,2R,4.04,10,98.5,,타교,타교,95654000,1594233
563,565,5388,AAHQ2vTtzSQ62lyXqur1In6o,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAE9GAgYnBT76ywUf8EXt/Yl,korean,박사과정,2017,2R,19911223,2021,2R,4.08,12,46,47,자교,자교,118911914,1651554
564,566,5389,AAHHZAzd1KLvS78OYkOJsk1r,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,집적회로전공,AAFPtasdSmFiolLbQlDDSvRe,korean,박사과정,2017,1R,19801018,2021,2R,4.21,13,45.7,47.8,타교,타교,,0
565,567,5392,AAGAf/6hBiCNRzvpCzBbJ9Sm,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEssPEiUNe/wYugrxd+fnX2,korean,박사과정,2018,2R,19800405,2021,2R,4.25,10,48.2,48.5,타교,타교,,0
566,568,5393,AAEm/IWR4t8Bgd/hM+oDvdi/,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,전기에너지,AAFa0n41YacK09cpuBFoETAk,korean,박사과정,2020,1R,19830723,2021,2R,4,8,47,46,타교,자교,,0
573,575,5430,AAGycMp7CcirPS/GQj30NKzC,공과대학,공학,2,정원내신입학,졸업,건축사회환경공학과,건설시스템 경영 및 관리,AAHpBFe+EZ/b+4BrGFPFBGbo,korean,박사과정,2019,1R,19920830,2021,2R,4.5,9,50,49,자교,자교,116835864,2163627
579,581,5460,AAHdszoYVdOZXLWxSXaYEkZv,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAFusQhKNZAOH5aykCeK8qQL,korean,박사과정,2018,2R,19800919,2021,2R,3.34,10,56,38,타교,타교,,0
580,582,5464,AAGIOa5MgjccdSq9rWomro3F,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,박사과정,2018,1R,19860305,2021,2R,3.72,11,60,34,타교,타교,,0
593,595,5585,AAFkl1YeEqzjD80EM4TbdbSx,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAG9vgWMRYHtNalVfeopzK5v,korean,박사과정,2019,1R,19750811,2021,2R,3.83,9,44.5,44.5,타교,타교,,0
