,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
112,112,4680,AAGP9NDaWjB+VFo5oOb7Pcs5,이과대학,자연과학,2,정원내신입학,졸업,화학과,유기화학전공,AAGo9rBbww79qUMN3dh1Tg2K,korean,석·박사통합과정,2020,1R,19920811,2021,1R,3.75,10,102492000,42,46,타교,,1708200
113,113,4681,AAHGiVUD/ZfjQDedGmTP1Qvx,이과대학,자연과학,1,정원내신입학,졸업,화학과,물리화학전공,AAGqVxHdMTtss9SruRc6GCfG,korean,석·박사통합과정,2020,1R,19880414,2021,1R,3.78,10,66762000,40,40,타교,,1112700
114,114,4695,AAEYBpJC90Bzy/0BW/lUk9G3,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAFptwmanjlLzXaPDP6w+HhG,korean,석·박사통합과정,2018,1R,19920707,2021,1R,4.44,12,72345000,43.1,42.8,자교,,1004792
115,115,4696,AAEaNLQQoDNRfJfsayQwsTz3,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAGeqJDzBjy+KGfL5UY+9TIp,korean,석·박사통합과정,2018,1R,19890110,2021,1R,4.11,12,175180031,36.7,38.8,타교,,2433056
116,116,4697,AAHZhFCQGBgeDT1/ErUwORA2,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석·박사통합과정,2018,1R,19921029,2021,1R,4.22,12,133667812,46.3,43.5,자교,,1856497
117,117,4721,AAGhQRjHARc1w4+F8TN9BLjk,이과대학,자연과학,2,정원내신입학,졸업,화학과,고분자화학전공,AAFXijirLbUuH9BgHv7mX6Kt,korean,석·박사통합과정,2020,1R,19930104,2021,1R,3.97,10,95280000,48,47.5,타교,,1588000
118,118,4736,AAGjVzgNQSNQI4HSptGUFqjD,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,korean,석·박사통합과정,2018,1R,19900418,2021,1R,4.25,12,110250000,44,27,타교,,1531250
119,119,4740,AAEgg17iJuyEEWVtmCC2mhfj,공과대학,공학,1,학연산협동과정,졸업,신소재공학과,신소재공학전공,AAHMngiUwqKD8mqXyCpl4RdA,korean,석·박사통합과정,2018,2R,19901213,2021,1R,4.22,11,,57,37,타교,,0
120,120,4741,AAHeRIeoNVafHt8JoKPLype7,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2018,2R,19920424,2021,1R,4.33,11,111163390,57,39,자교,,1684294
121,121,4754,AAEe2vQ08DGC3TuSOsbw9jvi,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAHMngiUwqKD8mqXyCpl4RdA,korean,석·박사통합과정,2018,1R,19900102,2021,1R,4.11,12,28170000,48,28,타교,,391250
