,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
4101,4330,4933,AAGmkBxY8VM1llupwfpsm/KG,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,집적회로전공,AAEjl2tI/iO/9WH66UlDLNsD,korean,석사과정,2021,1R,19930511,2021,1R,4.31,4,49.1,48.3,타교,,42500000,1770833
4102,4331,4934,AAHL2KDAtnFPgjfJSKsb20YL,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAH21A4vb3SvJdJfujF2CFFF,korean,석사과정,2021,1R,19950529,2021,1R,4.44,4,48.8,49,자교,,8120000,338333
4103,4332,4935,AAFzSysjysdcxL1MnhbE9Xbz,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAECdzyDAzeE6PWmSAm4h7jT,korean,석사과정,2021,1R,19940110,2021,1R,4.25,4,43.7,47.8,타교,,,0
4104,4333,4936,AAHt4lFbqWxm9zSIHk793gt9,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,집적회로전공,AAG3+nQQfku8TxQrKNeggbkB,korean,석사과정,2021,1R,19950202,2021,1R,4.19,4,48.8,42.8,타교,,20600000,858333
4105,4334,4937,AAH3f67XFCOXmRNIjQ8pwiwe,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAH0N/gEAzKXntPYBPaq+9jl,korean,석사과정,2021,1R,19931116,2021,1R,4.5,4,49.9,49.8,자교,,40090400,1670433
4106,4335,4938,AAF8pz12tvWS482q5YJ9Gbys,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAGeqJDzBjy+KGfL5UY+9TIp,korean,석사과정,2021,1R,19930306,2021,1R,4,4,46.4,44.8,타교,,44300000,1845833
4107,4336,4939,AAG2n/ugyXgJa/SUMIjvWaYs,디자인조형학부,예·체능,2,정원내신입학,졸업,디자인조형학과,산업디자인전공,AAEqI7AUt/a1/Ot9Q+n4KcNY,korean,석사과정,2021,1R,19941127,2021,1R,4.27,4,45,46,타교,,30960000,1290000
4108,4337,4940,AAHJwbM3gZ1yFZt7YJSgBtXR,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAGxp12W7P/OZsrknV1XW5AW,korean,석사과정,2021,1R,19960309,2021,1R,4.13,4,49.5,47.7,타교,,36089096,1503712
4109,4338,4941,AAGvb9/1DafpFb8FqLwaigWC,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,제어·로봇·시스템,AAHIZOBf233yijM0itKO4Vw1,korean,석사과정,2021,1R,19960322,2021,1R,3.94,4,47.1,48.7,타교,,24147600,1006150
4110,4339,4942,AAEFk/9QadVBSL7PT5cYd9Qj,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,집적회로전공,AAG4MQBz04451TMpmT1c5RIs,korean,석사과정,2021,1R,19921218,2021,1R,4.38,4,48,45.6,타교,,24990000,1041250
